,zip_code,latitude,longitude,city,state,county
0,92101,32.7211,-117.17436599999999,San Diego,CA,San Diego
1,92102,32.71712,-117.118604,San Diego,CA,San Diego
2,92103,32.746085,-117.17051699999999,San Diego,CA,San Diego
3,92104,32.73875,-117.12890800000001,San Diego,CA,San Diego
4,92105,32.7374,-117.087313,San Diego,CA,San Diego
5,92106,32.709355,-117.23276399999999,San Diego,CA,San Diego
6,92107,32.735,-117.202669,San Diego,CA,San Diego
7,92108,32.774699,-117.14861599999999,San Diego,CA,San Diego
8,92109,32.794748,-117.239392,San Diego,CA,San Diego
9,92110,32.775849,-117.20796499999999,San Diego,CA,San Diego
10,92111,32.803717,-117.16643,San Diego,CA,San Diego
11,92112,33.016928,-116.846046,San Diego,CA,San Diego
12,92113,32.694601,-117.121678,San Diego,CA,San Diego
13,92114,32.706140000000005,-117.051651,San Diego,CA,San Diego
14,92115,32.7576,-117.07068799999999,San Diego,CA,San Diego
15,92116,32.7654,-117.127894,San Diego,CA,San Diego
16,92117,32.818397999999995,-117.19716799999999,San Diego,CA,San Diego
17,92119,32.815849,-117.033162,San Diego,CA,San Diego
18,92120,32.794947,-117.07986299999999,San Diego,CA,San Diego
19,92121,32.903909999999996,-117.207828,San Diego,CA,San Diego
20,92122,32.856846999999995,-117.208027,San Diego,CA,San Diego
21,92123,32.810983,-117.136812,San Diego,CA,San Diego
22,92124,32.818733,-117.08238700000001,San Diego,CA,San Diego
23,92126,32.899613,-117.144916,San Diego,CA,San Diego
24,92127,33.021243,-117.120915,San Diego,CA,San Diego
25,92128,32.995484000000005,-117.07483,San Diego,CA,San Diego
26,92129,32.965012,-117.12661899999999,San Diego,CA,San Diego
27,92130,32.952467,-117.16187099999999,San Diego,CA,San Diego
28,92131,32.874916,-117.08832199999999,San Diego,CA,San Diego
29,92132,32.643703,-117.13841399999998,San Diego,CA,San Diego
30,92133,32.733507,-117.216451,San Diego,CA,San Diego
31,92134,32.562106,-117.07166000000001,San Diego,CA,San Diego
32,92135,33.016928,-116.846046,San Diego,CA,San Diego
33,92136,32.68342,-117.12191299999999,San Diego,CA,San Diego
34,92137,32.853770000000004,-117.119744,San Diego,CA,San Diego
35,92138,33.016928,-116.846046,San Diego,CA,San Diego
36,92139,32.68018,-117.047627,San Diego,CA,San Diego
37,92140,32.74344,-117.20041200000001,San Diego,CA,San Diego
38,92142,33.016928,-116.846046,San Diego,CA,San Diego
39,92145,32.889139,-117.100486,San Diego,CA,San Diego
40,92147,33.016928,-116.846046,San Diego,CA,San Diego
41,92149,33.016928,-116.846046,San Diego,CA,San Diego
42,92150,33.016928,-116.846046,San Diego,CA,San Diego
43,92152,33.016928,-116.846046,San Diego,CA,San Diego
44,92153,33.016928,-116.846046,San Diego,CA,San Diego
45,92154,32.628038000000004,-117.035225,San Diego,CA,San Diego
46,92155,32.671602,-117.16566499999999,San Diego,CA,San Diego
47,92158,33.016928,-116.846046,San Diego,CA,San Diego
48,92159,33.016928,-116.846046,San Diego,CA,San Diego
49,92160,33.016928,-116.846046,San Diego,CA,San Diego
50,92161,32.871846000000005,-117.229119,San Diego,CA,San Diego
51,92162,33.016928,-116.846046,San Diego,CA,San Diego
52,92163,33.016928,-116.846046,San Diego,CA,San Diego
53,92164,33.016928,-116.846046,San Diego,CA,San Diego
54,92165,33.016928,-116.846046,San Diego,CA,San Diego
55,92166,33.016928,-116.846046,San Diego,CA,San Diego
56,92167,33.016928,-116.846046,San Diego,CA,San Diego
57,92168,33.016928,-116.846046,San Diego,CA,San Diego
58,92169,33.016928,-116.846046,San Diego,CA,San Diego
59,92170,33.016928,-116.846046,San Diego,CA,San Diego
60,92171,33.016928,-116.846046,San Diego,CA,San Diego
61,92172,33.016928,-116.846046,San Diego,CA,San Diego
62,92174,33.016928,-116.846046,San Diego,CA,San Diego
63,92175,33.016928,-116.846046,San Diego,CA,San Diego
64,92176,33.016928,-116.846046,San Diego,CA,San Diego
65,92177,33.016928,-116.846046,San Diego,CA,San Diego
66,92179,32.572602,-116.918724,San Diego,CA,San Diego
67,92182,32.775088000000004,-117.076176,San Diego,CA,San Diego
68,92184,33.016928,-116.846046,San Diego,CA,San Diego
69,92186,33.016928,-116.846046,San Diego,CA,San Diego
70,92187,33.016928,-116.846046,San Diego,CA,San Diego
71,92190,33.016928,-116.846046,San Diego,CA,San Diego
72,92191,33.016928,-116.846046,San Diego,CA,San Diego
73,92192,33.016928,-116.846046,San Diego,CA,San Diego
74,92193,33.016928,-116.846046,San Diego,CA,San Diego
75,92194,33.016928,-116.846046,San Diego,CA,San Diego
76,92195,33.016928,-116.846046,San Diego,CA,San Diego
77,92196,33.016928,-116.846046,San Diego,CA,San Diego
78,92197,33.016928,-116.846046,San Diego,CA,San Diego
79,92198,33.016928,-116.846046,San Diego,CA,San Diego
80,92199,32.751575,-117.191848,San Diego,CA,San Diego
