zip_code,Mean income,MoE Mean income,Median income,MoE Median income
91911,62932,2137,51383,1874
91914,137640,8680,124578,7047
91915,111918,8589,104170,6753
91932,59870,2942,48010,1975
91942,70677,3837,55753,3194
91945,66936,2833,59025,3337
91950,54302,2179,41867,1768
92014,187673,18672,120882,17310
92025,74443,3085,50774,2336
92027,73327,3148,56250,3382
92029,106300,6354,86250,7765
92037,163908,8038,102297,4866
92064,125843,4914,98942,5229
92065,97271,4392,79169,4143
92067,192739,30163,133355,46317
92071,88484,3108,77712,3388
92075,139341,10277,99688,13278
92101,88499,6445,57209,4795
92102,59152,3506,42464,2824
92103,98416,5194,72200,4382
92104,72742,2948,52029,2607
92105,50122,2139,37908,1909
92106,124868,9446,83288,9017
92107,92993,3993,73088,5300
92108,78204,4701,65586,4617
92109,90252,4129,71098,2214
92110,77786,4547,61310,3604
92111,76696,4461,60134,3870
92113,42378,2075,31001,1654
92114,70361,2625,58036,3002
92115,66105,3101,46994,2242
92116,78965,3161,60362,3168
92117,84288,3218,66297,4890
92118,131277,6418,92413,4915
92119,90793,4288,74507,3311
92120,108202,7738,85275,4877
92121,125100,11615,101906,9700
92122,92248,3847,73756,8791
92123,87485,3873,72245,3716
92124,103571,6534,82037,3877
92126,102147,2663,90006,3008
92127,156220,11169,117150,11714
92128,109261,3823,96026,4637
92129,129918,3939,115260,6940
92130,176857,7503,136855,6695
92131,147410,4860,120584,6384
92139,68459,2651,57442,4150
92145,245707,45134,202563,170382
92154,72416,2904,61618,2500
92173,46944,2280,37166,2343
