zip_code,total population
91901,18586
91902,19429
91905,1539
91906,3565
91910,76027
91911,84241
91913,47494
91914,16865
91915,30679
91916,1542
91917,937
91931,474
91932,26801
91934,274
91935,8347
91941,33077
91942,39795
91945,26673
91948,13
91950,62078
91962,2190
91963,988
91977,62065
91978,9804
91980,595
92003,4905
92004,2520
92007,11929
92008,26968
92009,44330
92010,15551
92011,24899
92014,13665
92019,43200
92020,58554
92021,69552
92024,50246
92025,53742
92026,49327
92027,56899
92028,48468
92029,18758
92036,2700
92037,38659
92040,43191
92054,42523
92055,12926
92056,53920
92057,57125
92058,46463
92059,1177
92060,79
92061,2046
92064,49763
92065,37633
92066,530
92067,9127
92069,48682
92070,1034
92071,56682
92075,12548
92078,48009
92081,28976
92082,18722
92083,37367
92084,50915
92086,1672
92091,1473
92101,36857
92102,44778
92103,33873
92104,45788
92105,72724
92106,18864
92107,29292
92108,20899
92109,48430
92110,28508
92111,48380
92113,57887
92114,69688
92115,64410
92116,32920
92117,54489
92118,23473
92119,23456
92120,28518
92121,4588
92122,47314
92123,30202
92124,31061
92126,80685
92127,43588
92128,49522
92129,55780
92130,51757
92131,34425
92132,0
92134,216
92135,851
92139,36720
92140,3112
92145,2096
92147,569
92154,88016
92155,528
92173,32416
92672,34605
